name,players,information,lives,moves,score
internal,2,0,3,73,15
outer,2,1,3,72,15
cautious,2,8,0,51,10
pure_random,3,6,0,13,0
random,3,8,0,4,0
internal,3,0,3,64,14
outer,3,1,3,63,14
cautious,3,1,3,62,15
pure_random,4,7,0,15,0
random,4,8,0,7,2
internal,4,0,3,63,14
outer,4,1,3,63,12
cautious,4,0,3,64,12
pure_random,5,7,0,11,3
random,5,7,0,5,1
internal,5,1,3,57,11
outer,5,0,3,56,12
cautious,5,1,3,58,9
pure_random,2,4,0,13,1
random,2,8,0,7,1
internal,2,0,3,76,13
outer,2,1,3,73,14
cautious,2,3,3,70,15
pure_random,3,0,0,17,3
random,3,8,0,4,0
internal,3,0,3,64,15
outer,3,0,3,65,14
cautious,3,0,3,63,15
pure_random,4,8,0,4,1
random,4,8,0,4,0
internal,4,1,3,62,13
outer,4,1,3,64,11
cautious,4,0,3,63,13
pure_random,5,5,0,10,1
random,5,7,0,8,2
internal,5,0,3,56,13
outer,5,0,3,57,11
cautious,5,0,3,56,12
pure_random,2,5,0,19,3
random,2,7,0,8,0
internal,2,1,3,74,13
outer,2,1,3,73,15
cautious,2,8,0,10,1
pure_random,3,6,0,14,3
random,3,8,0,4,0
internal,3,0,3,65,13
outer,3,1,3,63,14
cautious,3,1,3,64,14
pure_random,4,7,0,17,3
random,4,8,0,6,0
internal,4,0,3,63,13
outer,4,1,3,65,10
cautious,4,0,3,63,13
pure_random,5,6,0,10,0
random,5,8,0,11,1
internal,5,0,3,60,8
outer,5,1,3,58,9
cautious,5,1,3,55,12
pure_random,2,6,0,10,0
random,2,8,0,3,1
internal,2,1,3,74,13
outer,2,1,3,74,14
cautious,2,4,3,71,14
pure_random,3,4,0,18,2
random,3,8,0,4,0
internal,3,1,3,63,14
outer,3,1,3,65,13
cautious,3,2,3,61,17
pure_random,4,6,0,7,1
random,4,8,0,3,0
internal,4,0,3,63,13
outer,4,1,3,62,13
cautious,4,1,3,64,12
pure_random,5,7,0,11,2
random,5,8,0,6,2
internal,5,1,3,56,11
outer,5,1,3,56,12
cautious,5,0,3,57,11
pure_random,2,4,0,19,1
random,2,8,0,4,1
internal,2,1,3,74,13
outer,2,1,3,77,11
cautious,2,7,1,66,13
pure_random,3,3,0,12,2
random,3,8,0,4,1
internal,3,1,3,65,12
outer,3,1,3,66,11
cautious,3,0,3,65,14
pure_random,4,3,0,12,0
random,4,7,0,7,1
internal,4,1,3,61,14
outer,4,1,3,62,13
cautious,4,1,3,63,12
pure_random,5,8,0,4,0
random,5,8,0,18,3
internal,5,1,3,56,11
outer,5,1,3,56,11
cautious,5,0,3,58,10
pure_random,2,7,0,10,0
random,2,8,0,3,1
internal,2,1,3,76,12
outer,2,0,3,76,13
cautious,2,0,3,71,18
pure_random,3,4,0,18,2
random,3,8,0,5,0
internal,3,0,3,64,14
outer,3,1,3,64,14
cautious,3,1,3,62,15
pure_random,4,7,0,9,0
random,4,8,0,8,2
internal,4,0,3,64,12
outer,4,1,3,64,12
cautious,4,0,3,63,13
pure_random,5,8,0,4,0
random,5,8,0,9,1
internal,5,1,3,58,9
outer,5,0,3,57,11
cautious,5,0,3,58,10
pure_random,2,4,0,17,2
random,2,8,0,4,0
internal,2,2,3,75,13
outer,2,1,3,75,12
cautious,2,1,3,71,16
pure_random,3,8,0,7,1
random,3,7,0,5,0
internal,3,1,3,65,12
outer,3,0,3,64,14
cautious,3,1,3,64,14
pure_random,4,5,0,12,0
random,4,8,0,2,0
internal,4,0,3,63,13
outer,4,0,3,63,13
cautious,4,1,3,62,13
pure_random,5,5,0,11,0
random,5,8,0,9,2
internal,5,1,3,57,10
outer,5,1,3,58,9
cautious,5,0,3,55,13
pure_random,2,7,0,8,0
random,2,7,0,9,1
internal,2,1,3,75,12
outer,2,0,3,72,18
cautious,2,3,3,69,18
pure_random,3,7,0,8,0
random,3,6,0,7,2
internal,3,1,3,67,11
outer,3,1,3,62,15
cautious,3,0,3,63,16
pure_random,4,8,0,14,1
random,4,6,0,8,0
internal,4,1,3,63,12
outer,4,0,3,62,14
cautious,4,0,3,63,13
pure_random,5,5,0,12,0
random,5,7,0,5,0
internal,5,1,3,55,12
outer,5,1,3,55,13
cautious,5,1,3,57,10
pure_random,2,7,0,10,2
random,2,8,0,4,0
internal,2,1,3,77,10
outer,2,0,3,77,11
cautious,2,8,3,66,14
pure_random,3,8,0,8,0
random,3,7,0,7,1
internal,3,0,3,64,15
outer,3,1,3,63,14
cautious,3,0,3,64,14
pure_random,4,7,0,13,0
random,4,8,0,8,2
internal,4,1,3,62,13
outer,4,0,3,65,12
cautious,4,1,3,62,13
pure_random,5,8,0,7,0
random,5,8,0,6,0
internal,5,0,3,57,11
outer,5,0,3,57,11
cautious,5,1,3,57,10
pure_random,2,2,0,11,0
random,2,8,0,4,0
internal,2,1,3,77,10
outer,2,0,3,78,10
cautious,2,6,3,69,15
pure_random,3,8,0,13,2
random,3,8,0,3,0
internal,3,1,3,63,15
outer,3,0,3,66,12
cautious,3,0,2,64,13
pure_random,4,8,0,10,3
random,4,6,0,11,0
internal,4,1,3,63,12
outer,4,1,3,64,11
cautious,4,1,3,61,15
